name,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,loc,numParameters,numAttr,numMethods,setters,getters,isCollection,isAbstractClass,numWordName,isOrEr,isController,numImports,numOutboundInv,numIfs,isClassRes
RTDualAttachPoint,public,6,4,4,36,11,2,10,2,2,false,false,4,false,false,4,4,0,true
RTDummyNode,public,12,0,0,38,6,1,12,1,1,false,false,3,false,false,4,4,0,true
RTDuplicationBetweenPackages,private,3,0,0,49,0,0,3,0,0,false,false,4,false,false,7,30,0,true
RTDynamicEqualizerGrapher,public,4,2,2,49,4,3,6,0,0,false,false,4,true,false,6,25,0,true
RTDynamicEqualizerGrapherTest,private,1,1,1,10,0,1,2,0,0,false,false,5,false,false,3,2,0,true
RTDynamicGrapher,public,12,2,2,79,5,3,14,2,2,false,false,3,true,false,5,27,0,true
RTDynamicGrapherTest,private,0,1,1,19,0,0,1,0,0,false,false,4,false,false,4,17,0,true
RTDynamicStackedGrapher,public,19,8,8,132,10,6,27,3,3,false,false,4,true,false,9,54,4,true
RTDynamicStackedGrapherTest,private,0,6,6,88,0,0,6,0,0,false,false,5,false,false,6,50,0,true
RTDynamicStackerGrapherExample,public,1,6,6,120,0,0,7,0,0,false,false,5,false,false,5,46,0,true
RTEdge,public,23,20,20,281,104,3,43,2,0,false,false,2,false,false,10,87,7,true
RTEdgeBuilder,public,36,11,11,448,46,9,47,0,2,false,false,3,true,false,11,86,8,true
RTEdgeBuilderTest,private,2,36,36,423,0,3,38,0,0,false,false,4,false,false,18,345,0,true
RTEdgeDrivenLayout,public,12,13,14,113,14,5,26,4,5,false,true,4,false,false,5,20,3,false
RTEdgeTest,private,2,19,19,266,0,3,21,0,0,false,false,3,false,false,16,173,0,true
